,max_ep,max_it,batch,datas,LR,ue,train_t,res_waste,rew,pred_tt,er_prc_tt,er_abs_tt,pred_rew,er_prc_rew,er_abs_rew,pred_rw,er_prc_rw,er_abs_rw
52,81,1,156,19000,0.143,4,4.489,433.102,-1.9,5.428,23.024,0.939,-0.988,61.22,0.913,411.101,5.659,-22.001
3,49,1,159,23000,0.15,23,4.504,439.565,-1.841,5.319,20.714,0.815,-0.771,64.357,1.07,426.136,4.81,-13.429
27,65,1,141,23000,0.092,11,4.55,429.387,-1.993,5.437,22.268,0.887,-0.777,57.756,1.216,383.266,10.537,-46.121
48,78,1,158,18000,0.138,45,4.554,434.004,-1.953,5.491,24.075,0.937,-0.864,50.95,1.089,394.486,8.9,-39.518
13,59,1,156,23000,0.094,23,4.561,429.246,-1.926,5.376,22.65,0.815,-1.001,50.625,0.925,407.13,5.45,-22.116
15,60,1,137,17000,0.147,16,4.708,429.307,-2.082,5.4,18.625,0.692,-0.549,66.325,1.533,343.177,19.775,-86.13
38,71,1,135,21000,0.133,17,4.751,440.903,-2.076,5.436,18.61,0.685,-0.579,66.537,1.497,392.118,10.585,-48.785
31,68,1,219,20000,0.198,3,5.397,583.231,-1.731,5.349,17.262,-0.048,-1.2,46.929,0.531,422.048,27.429,-161.183
36,70,1,182,22000,0.123,7,5.424,577.013,-1.793,5.345,14.143,-0.078,-1.219,84.214,0.574,444.511,22.714,-132.502
26,64,1,126,18000,0.082,52,5.497,565.649,-1.76,5.382,14.341,-0.115,-1.239,53.537,0.521,443.296,21.439,-122.353
25,63,1,219,20000,0.174,3,5.606,577.021,-1.861,5.352,16.268,-0.255,-1.261,42.317,0.6,433.356,24.732,-143.665
43,74,1,209,21000,0.135,3,5.64,581.111,-1.921,5.333,15.262,-0.307,-0.995,47.048,0.926,431.427,25.548,-149.684
56,82,1,200,18000,0.166,5,5.644,618.778,-1.883,4.472,20.163,-1.171,-1.24,51.326,0.643,980.047,59.465,361.269
8,54,1,128,23000,0.08,23,5.7,564.531,-1.854,5.279,18.163,-0.42,-0.725,59.767,1.129,416.529,26.116,-148.002
49,78,1,192,20000,0.147,17,5.711,588.166,-1.892,5.303,16.024,-0.408,-0.929,52.878,0.963,441.896,24.756,-146.269
29,66,1,103,18000,0.133,37,5.718,569.069,-1.934,5.31,15.0,-0.408,-0.902,52.85,1.032,448.742,20.875,-120.327
50,79,1,214,19000,0.154,12,5.73,579.999,-1.9,5.354,18.575,-0.376,-0.93,47.55,0.969,443.615,23.4,-136.384
58,88,1,233,19000,0.174,1,5.758,573.937,-1.941,5.351,16.375,-0.407,-0.918,567.7,1.023,442.15,22.8,-131.786
47,76,1,161,21000,0.118,1,5.775,567.66,-1.947,5.201,19.81,-0.574,-0.804,50.738,1.143,459.462,18.952,-108.198
57,86,1,184,20000,0.167,2,5.801,567.58,-1.984,5.189,16.651,-0.612,-0.614,61.419,1.37,469.666,17.023,-97.914
11,58,1,129,23000,0.099,11,5.818,568.35,-1.928,5.099,20.22,-0.718,-0.799,50.878,1.13,475.467,16.073,-92.883
21,62,1,192,25000,0.09,16,5.84,576.678,-1.967,5.521,17.45,-0.319,-1.015,51.825,0.951,598.369,4.775,21.691
40,73,1,127,21000,0.128,1,5.846,564.658,-1.958,5.309,15.55,-0.537,-0.862,56.275,1.097,425.017,24.475,-139.641
45,75,1,194,21000,0.146,14,5.883,582.248,-1.972,5.28,16.048,-0.603,-0.727,56.452,1.244,430.525,25.833,-151.722
59,91,1,101,21000,0.114,5,5.892,561.163,-1.974,5.303,16.683,-0.589,-0.821,74.268,1.152,431.862,22.951,-129.301
42,73,1,206,20000,0.142,23,5.892,580.488,-2.043,5.306,15.805,-0.586,-0.679,71.951,1.364,433.918,25.049,-146.57
41,73,1,204,21000,0.149,1,5.906,576.612,-2.059,5.261,16.75,-0.645,-0.721,58.575,1.338,439.996,23.475,-136.615
0,1,1,218,20000,0.001,1,5.935,564.303,-1.676,5.297,12.0,-0.638,-1.262,25.75,0.414,387.779,31.25,-176.525
18,61,1,162,21000,0.105,14,5.956,562.185,-2.063,5.294,19.476,-0.662,-0.616,61.786,1.447,421.628,24.762,-140.558
23,62,1,198,21000,0.174,1,5.959,580.999,-2.079,5.295,16.366,-0.664,-0.616,64.512,1.463,427.301,26.317,-153.698
22,62,1,194,20000,0.12,16,5.962,583.665,-2.05,5.283,16.244,-0.679,-0.736,64.78,1.314,429.705,26.293,-153.96
44,74,1,239,20000,0.156,1,5.978,570.261,-2.078,5.296,17.8,-0.682,-0.657,61.5,1.421,430.605,24.275,-139.656
28,65,1,161,20000,0.121,20,5.98,567.41,-2.063,5.204,18.325,-0.776,-0.928,52.275,1.135,469.848,17.1,-97.563
37,70,1,207,19000,0.135,21,6.0,578.731,-2.111,5.323,17.098,-0.678,-0.497,71.024,1.614,444.258,23.122,-134.473
39,71,1,160,21000,0.126,12,6.001,577.361,-2.093,5.291,16.854,-0.709,-0.571,71.829,1.523,428.817,25.634,-148.543
2,33,1,184,22000,0.062,38,6.057,571.535,-2.119,5.208,17.537,-0.848,-0.623,64.561,1.496,475.579,16.61,-95.956
6,52,1,128,19000,0.106,13,6.134,558.708,-2.159,5.333,17.225,-0.801,-0.781,58.7,1.379,441.776,20.875,-116.932
12,58,2,156,18000,0.128,16,6.168,659.506,-1.826,5.05,19.171,-1.117,-0.939,49.488,0.887,419.536,36.22,-239.971
9,54,2,139,18000,0.147,9,6.22,670.94,-1.893,4.893,20.85,-1.326,-1.033,45.4,0.86,481.128,27.95,-189.812
35,70,1,131,21000,0.121,18,6.272,572.877,-2.234,5.26,18.756,-1.013,-0.248,86.585,1.986,429.924,24.78,-142.954
20,61,2,136,23000,0.1,12,6.576,664.187,-2.035,4.822,25.415,-1.754,-0.447,70.659,1.588,443.398,33.024,-220.789
14,59,2,159,27000,0.083,5,6.713,664.091,-2.122,5.007,24.725,-1.705,-0.812,56.75,1.31,443.612,33.0,-220.478
54,81,2,134,22000,0.1,3,6.779,670.722,-2.141,4.843,26.8,-1.936,-0.277,84.475,1.865,459.643,31.225,-211.079
32,68,2,188,18000,0.12,26,8.163,896.564,-1.844,4.692,39.902,-3.471,-1.049,48.22,0.795,537.938,39.756,-358.626
17,60,2,195,26000,0.079,5,8.401,905.84,-1.962,4.693,42.366,-3.709,-0.836,55.317,1.126,544.862,39.61,-360.978
55,81,2,163,19000,0.161,22,8.483,877.701,-1.943,4.655,43.075,-3.828,-0.826,56.95,1.118,527.854,39.65,-349.847
24,62,2,161,27000,0.09,6,8.562,895.032,-1.993,4.867,41.143,-3.695,-0.701,58.619,1.291,475.86,46.667,-419.172
51,80,2,185,19000,0.153,13,8.608,895.605,-2.014,4.639,43.976,-3.969,-0.707,68.952,1.307,515.188,42.19,-380.418
1,31,2,179,18000,0.116,9,8.613,877.719,-2.005,4.638,44.075,-3.975,-0.712,58.025,1.293,521.372,40.425,-356.347
5,50,2,183,18000,0.102,6,8.64,887.269,-1.969,4.639,43.775,-4.001,-0.769,52.025,1.2,522.293,40.875,-364.976
30,66,2,129,19000,0.138,26,8.656,875.929,-2.027,4.773,42.293,-3.883,-0.777,53.951,1.25,485.618,44.39,-390.311
